Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-01-29 18:31:00+00:00,23603.04296875,23603.04296875,23603.04296875,23603.04296875,0,0.0,0.0
2023-01-29 18:32:00+00:00,23606.17578125,23606.17578125,23606.17578125,23606.17578125,6563840,0.0,0.0
2023-01-29 18:33:00+00:00,23611.11328125,23611.11328125,23611.11328125,23611.11328125,1722368,0.0,0.0
2023-01-29 18:34:00+00:00,23627.18359375,23627.18359375,23627.18359375,23627.18359375,46356480,0.0,0.0
2023-01-29 18:35:00+00:00,23615.3984375,23615.3984375,23615.3984375,23615.3984375,49559552,0.0,0.0
2023-01-29 18:36:00+00:00,23621.19140625,23621.19140625,23621.19140625,23621.19140625,30248960,0.0,0.0
2023-01-29 18:37:00+00:00,23603.5,23603.5,23603.5,23603.5,77858816,0.0,0.0
2023-01-29 18:38:00+00:00,23611.578125,23611.578125,23611.578125,23611.578125,5765120,0.0,0.0
2023-01-29 18:39:00+00:00,23621.990234375,23621.990234375,23621.990234375,23621.990234375,19488768,0.0,0.0
2023-01-29 18:40:00+00:00,23644.75,23644.75,23644.75,23644.75,40841216,0.0,0.0
2023-01-29 18:41:00+00:00,23647.66015625,23647.66015625,23647.66015625,23647.66015625,18855936,0.0,0.0
2023-01-29 18:42:00+00:00,23647.982421875,23647.982421875,23647.982421875,23647.982421875,10784768,0.0,0.0
2023-01-29 18:43:00+00:00,23672.3046875,23672.3046875,23672.3046875,23672.3046875,78823424,0.0,0.0
2023-01-29 18:44:00+00:00,23674.998046875,23674.998046875,23674.998046875,23674.998046875,27238400,0.0,0.0
2023-01-29 18:45:00+00:00,23684.626953125,23684.626953125,23684.626953125,23684.626953125,22280192,0.0,0.0
2023-01-29 18:46:00+00:00,23693.822265625,23693.822265625,23693.822265625,23693.822265625,88811520,0.0,0.0
2023-01-29 18:47:00+00:00,23693.974609375,23693.974609375,23693.974609375,23693.974609375,5097472,0.0,0.0
2023-01-29 18:48:00+00:00,23694.552734375,23694.552734375,23694.552734375,23694.552734375,13574144,0.0,0.0
2023-01-29 18:49:00+00:00,23703.5234375,23703.5234375,23703.5234375,23703.5234375,39028736,0.0,0.0
2023-01-29 18:50:00+00:00,23701.8515625,23701.8515625,23701.8515625,23701.8515625,8155136,0.0,0.0
2023-01-29 18:51:00+00:00,23704.408203125,23704.408203125,23704.408203125,23704.408203125,13547520,0.0,0.0
2023-01-29 18:52:00+00:00,23705.44140625,23705.44140625,23705.44140625,23705.44140625,14848000,0.0,0.0
2023-01-29 18:53:00+00:00,23706.845703125,23706.845703125,23706.845703125,23706.845703125,15783936,0.0,0.0
2023-01-29 18:54:00+00:00,23707.673828125,23707.673828125,23707.673828125,23707.673828125,12605440,0.0,0.0
2023-01-29 18:55:00+00:00,23709.60546875,23709.60546875,23709.60546875,23709.60546875,33126400,0.0,0.0
2023-01-29 18:56:00+00:00,23700.087890625,23700.087890625,23700.087890625,23700.087890625,14186496,0.0,0.0
2023-01-29 18:57:00+00:00,23698.744140625,23698.744140625,23698.744140625,23698.744140625,4190208,0.0,0.0
2023-01-29 18:58:00+00:00,23689.802734375,23689.802734375,23689.802734375,23689.802734375,29370368,0.0,0.0
2023-01-29 18:59:00+00:00,23688.6640625,23688.6640625,23688.6640625,23688.6640625,11804672,0.0,0.0
2023-01-29 19:00:00+00:00,23689.275390625,23689.275390625,23689.275390625,23689.275390625,5502976,0.0,0.0
2023-01-29 19:01:00+00:00,23686.81640625,23686.81640625,23686.81640625,23686.81640625,0,0.0,0.0
2023-01-29 19:02:00+00:00,23682.162109375,23682.162109375,23682.162109375,23682.162109375,0,0.0,0.0
2023-01-29 19:03:00+00:00,23681.5703125,23681.5703125,23681.5703125,23681.5703125,5122048,0.0,0.0
2023-01-29 19:04:00+00:00,23683.04296875,23683.04296875,23683.04296875,23683.04296875,24199168,0.0,0.0
2023-01-29 19:05:00+00:00,23684.19921875,23684.19921875,23684.19921875,23684.19921875,4978688,0.0,0.0
2023-01-29 19:06:00+00:00,23685.841796875,23685.841796875,23685.841796875,23685.841796875,6660096,0.0,0.0
2023-01-29 19:07:00+00:00,23701.54296875,23701.54296875,23701.54296875,23701.54296875,0,0.0,0.0
2023-01-29 19:08:00+00:00,23706.765625,23706.765625,23706.765625,23706.765625,10246144,0.0,0.0
2023-01-29 19:09:00+00:00,23713.87109375,23713.87109375,23713.87109375,23713.87109375,19361792,0.0,0.0
2023-01-29 19:10:00+00:00,23727.9296875,23727.9296875,23727.9296875,23727.9296875,178802688,0.0,0.0
2023-01-29 19:11:00+00:00,23728.62890625,23728.62890625,23728.62890625,23728.62890625,0,0.0,0.0
2023-01-29 19:12:00+00:00,23727.5546875,23727.5546875,23727.5546875,23727.5546875,7307264,0.0,0.0
2023-01-29 19:13:00+00:00,23734.6875,23734.6875,23734.6875,23734.6875,32149504,0.0,0.0
2023-01-29 19:14:00+00:00,23729.49609375,23729.49609375,23729.49609375,23729.49609375,3346432,0.0,0.0
2023-01-29 19:15:00+00:00,23733.080078125,23733.080078125,23733.080078125,23733.080078125,6404096,0.0,0.0
